BATHING SOAP,DETERGENT POWDER,SUGAR,SALT,FACE CREAM,DETERGENT POWDER,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,DISHWASH BAR,TEA POWDER,TOOTH BRUSH,DETERGENT POWDER,COOKING OIL,SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMPOO,SHAMOO,SALT,WASHING BAR,DETERGENT POWDER,CHOCOLATE,CHOCOLATE,NOODLES,BISCUIT,NOODLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,BISCUIT,NOODLES,CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,WASHING BAR,HAIR OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,PAPAD,DETERGENT LIQUID,BATHING SOAP,TOOTH PASTE,DISHWASH BAR,BISCUIT,BISCUIT,BISCUIT,TOOTH PASTE,DETERGENT POWDER,DETERGENT POWDER,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,WASHING BAR,BATHING SOAP,DISHWASH BAR,BATHING SOAP,TOOTH PASTE,PAPAD,DISHWASH LIQUID,JAM,SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,DETERGENT POWDER,BISCUIT,BISCUIT,BOURNVITA,BISCUIT,BISCUIT,BISCUIT,BISCUIT,COFFEE,BATHING SOAP,HAND WASH,GOOD KNIGHT LIQUID,TOOTH PASTE,DISHWASH BAR,TOOTH PASTE,WASHING LIQUID,TOOTH PASTE,WASHING LIQUID,DISHWASH LIQUID,DISHWASH BAR,WASHING BAR,,,,,,,,,,,,,,,,,,
BATHING SOAP,COOKING OIL,BISCUIT,BISCUIT,DETERGENT POWDER,WASHING BAR,WASHING BAR,SHAMPOO,TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,TEA POWDER,BISCUIT,BISCUIT,BISCUIT,TEA POWDER,DETERGENT POWDER,DISHWASH BAR,SALT,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,SALT,DISHWASH BAR,NOODLES,TEA POWDER,DISHWASH BAR,BATHING SOAP,COFFEE,DETERGENT POWDER,BISCUIT,HAIR OIL,DETERGENT POWDER,DISHWASH BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,BISCUIT,COFFEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,DETERGENT POWDER,CHOCOLATE,WASHING BAR,NOODLES,WASHING BAR,BATHING SOAP,SALT,SALT,BATHING SOAP,PAPAD,DISHWASH BAR,DETERGENT POWDER,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,
